Zona,ObjectId,et_x,et_y,et_order,ZoneId,zone_name
G2,26,25.273560,54.683700,315,12,Geltonoji 8-20h
G2,26,25.272080,54.686940,334,12,Geltonoji 8-20h
G2,26,25.273460,54.686370,336,12,Geltonoji 8-20h
G2,26,25.274880,54.685760,353,12,Geltonoji 8-20h
G2,26,25.274780,54.685820,352,12,Geltonoji 8-20h
G2,26,25.274770,54.685820,351,12,Geltonoji 8-20h
G2,26,25.274690,54.685860,350,12,Geltonoji 8-20h
G2,26,25.274620,54.685890,349,12,Geltonoji 8-20h
G2,26,25.274610,54.685890,348,12,Geltonoji 8-20h
G2,26,25.274480,54.685950,347,12,Geltonoji 8-20h
G2,26,25.274450,54.685960,346,12,Geltonoji 8-20h
G2,26,25.274420,54.685970,345,12,Geltonoji 8-20h
G2,26,25.274390,54.685980,344,12,Geltonoji 8-20h
G2,26,25.274380,54.685990,343,12,Geltonoji 8-20h
G2,26,25.274350,54.686000,342,12,Geltonoji 8-20h
G2,26,25.274340,54.686010,341,12,Geltonoji 8-20h
G2,26,25.273940,54.686160,340,12,Geltonoji 8-20h
G2,26,25.273600,54.686310,339,12,Geltonoji 8-20h
G2,26,25.273460,54.686370,338,12,Geltonoji 8-20h
G2,26,25.273460,54.686370,337,12,Geltonoji 8-20h
G2,26,25.272740,54.686670,335,12,Geltonoji 8-20h
G2,26,25.265550,54.681200,272,12,Geltonoji 8-20h
G2,26,25.272910,54.683790,314,12,Geltonoji 8-20h
G2,26,25.273020,54.684050,312,12,Geltonoji 8-20h
G2,26,25.264820,54.682390,290,12,Geltonoji 8-20h
G2,26,25.264830,54.682360,289,12,Geltonoji 8-20h
G2,26,25.264840,54.682270,288,12,Geltonoji 8-20h
G2,26,25.264850,54.682160,287,12,Geltonoji 8-20h
G2,26,25.264850,54.682100,286,12,Geltonoji 8-20h
G2,26,25.264860,54.682080,285,12,Geltonoji 8-20h
G2,26,25.264890,54.681980,284,12,Geltonoji 8-20h
G2,26,25.264920,54.681910,283,12,Geltonoji 8-20h
G2,26,25.264950,54.681820,282,12,Geltonoji 8-20h
G2,26,25.265020,54.681580,281,12,Geltonoji 8-20h
G2,26,25.265030,54.681540,280,12,Geltonoji 8-20h
G2,26,25.265100,54.681360,279,12,Geltonoji 8-20h
G2,26,25.265150,54.681370,278,12,Geltonoji 8-20h
G2,26,25.290600,54.674200,190,12,Geltonoji 8-20h
G2,26,25.265310,54.681140,276,12,Geltonoji 8-20h
G2,26,25.265430,54.681170,275,12,Geltonoji 8-20h
G2,26,25.265460,54.681170,274,12,Geltonoji 8-20h
G2,26,25.264820,54.682430,291,12,Geltonoji 8-20h
G2,26,25.273020,54.684040,313,12,Geltonoji 8-20h
G2,26,25.264820,54.682440,292,12,Geltonoji 8-20h
G2,26,25.264740,54.683270,294,12,Geltonoji 8-20h
G2,26,25.273150,54.684360,311,12,Geltonoji 8-20h
G2,26,25.269580,54.685070,310,12,Geltonoji 8-20h
G2,26,25.269340,54.684650,309,12,Geltonoji 8-20h
G2,26,25.267870,54.684860,308,12,Geltonoji 8-20h
G2,26,25.267840,54.684440,307,12,Geltonoji 8-20h
G2,26,25.267830,54.684380,306,12,Geltonoji 8-20h
G2,26,25.264620,54.684300,305,12,Geltonoji 8-20h
G2,26,25.264630,54.684260,304,12,Geltonoji 8-20h
G2,26,25.264640,54.684180,303,12,Geltonoji 8-20h
G2,26,25.264670,54.684030,302,12,Geltonoji 8-20h
G2,26,25.264670,54.684000,301,12,Geltonoji 8-20h
G2,26,25.264680,54.683950,300,12,Geltonoji 8-20h
G2,26,25.264690,54.683780,299,12,Geltonoji 8-20h
G2,26,25.264720,54.683490,298,12,Geltonoji 8-20h
G2,26,25.264740,54.683300,297,12,Geltonoji 8-20h
G2,26,25.264740,54.683290,296,12,Geltonoji 8-20h
G2,26,25.264740,54.683290,295,12,Geltonoji 8-20h
G2,26,25.264810,54.682560,293,12,Geltonoji 8-20h
G2,26,25.290590,54.674240,189,12,Geltonoji 8-20h
G2,26,25.292330,54.677150,183,12,Geltonoji 8-20h
G2,26,25.290570,54.674290,187,12,Geltonoji 8-20h
G2,26,25.279760,54.677700,81,12,Geltonoji 8-20h
G2,26,25.279740,54.677720,80,12,Geltonoji 8-20h
G2,26,25.279700,54.677750,79,12,Geltonoji 8-20h
G2,26,25.279640,54.677800,78,12,Geltonoji 8-20h
G2,26,25.279630,54.677810,77,12,Geltonoji 8-20h
G2,26,25.279610,54.677830,76,12,Geltonoji 8-20h
G2,26,25.279460,54.677960,75,12,Geltonoji 8-20h
G2,26,25.279790,54.677670,82,12,Geltonoji 8-20h
G2,26,25.279440,54.677980,74,12,Geltonoji 8-20h
G2,26,25.279350,54.678060,72,12,Geltonoji 8-20h
G2,26,25.279330,54.678070,71,12,Geltonoji 8-20h
G2,26,25.279190,54.678200,70,12,Geltonoji 8-20h
G2,26,25.279120,54.678260,69,12,Geltonoji 8-20h
G2,26,25.279090,54.678290,68,12,Geltonoji 8-20h
G2,26,25.278990,54.678370,67,12,Geltonoji 8-20h
G2,26,25.278860,54.678490,66,12,Geltonoji 8-20h
G2,26,25.279410,54.678010,73,12,Geltonoji 8-20h
G2,26,25.279860,54.677610,83,12,Geltonoji 8-20h
G2,26,25.279870,54.677600,84,12,Geltonoji 8-20h
G2,26,25.280010,54.677470,85,12,Geltonoji 8-20h
G2,26,25.283390,54.675510,102,12,Geltonoji 8-20h
G2,26,25.283330,54.675510,101,12,Geltonoji 8-20h
G2,26,25.283200,54.675570,100,12,Geltonoji 8-20h
G2,26,25.283120,54.675610,99,12,Geltonoji 8-20h
G2,26,25.283040,54.675650,98,12,Geltonoji 8-20h
G2,26,25.282800,54.675760,97,12,Geltonoji 8-20h
G2,26,25.281800,54.676140,96,12,Geltonoji 8-20h
G2,26,25.281130,54.676490,95,12,Geltonoji 8-20h
G2,26,25.280330,54.677130,94,12,Geltonoji 8-20h
G2,26,25.280340,54.677130,93,12,Geltonoji 8-20h
G2,26,25.280330,54.677150,92,12,Geltonoji 8-20h
G2,26,25.280320,54.677150,91,12,Geltonoji 8-20h
G2,26,25.280270,54.677210,90,12,Geltonoji 8-20h
G2,26,25.280260,54.677220,89,12,Geltonoji 8-20h
G2,26,25.280210,54.677260,88,12,Geltonoji 8-20h
