"SHA1(sms_receive_source_phone)";"sms_receive_operator";"FROM_UNIXTIME(sms_receive_date)";"sms_receive_body"
"dba3b0ea1b8399b0b0be3a127ab1af81d60bea6b";"2";"2017-04-05 07:44:06";"Stop"
"c8d9d9b513a0f613a93cb26c17a027cb452df6b9";"3";"2017-04-05 07:44:33";"START G"
"43c0d5c4dd04aef126067ecc224e78febb395edd";"3";"2017-04-05 07:45:02";"Start z"
"50e096bb6ef69a1bec43f371fd9c74731a404f16";"2";"2017-04-05 07:45:40";"Start G "
"93b88c16f200c9f5fd7d481ce1f80ac65d3db5ad";"3";"2017-04-05 07:46:12";"Start r "
"a9b1a7200318e7719bb4cd541be3fc7e03eaa050";"1";"2017-04-05 07:46:35";"START Z"
"90ba4a653320620d8763b3e8501bef4b354a9257";"3";"2017-04-05 07:46:42";"Start"
"299d9d07da9f9870fbfac92632a4934f6ed04f74";"2";"2017-04-05 07:47:50";"Start R "
"c0e8b68809767e762cf0e72f717d32f22bd5fa5f";"1";"2017-04-05 07:48:00";"Start g "
"0ba9180531cecd7e306104c2c77bd4328d2e78d3";"1";"2017-04-05 07:48:06";"Start r"
"4da6792db57304319539fb19f2c93bd90b614a1f";"1";"2017-04-05 07:49:33";"Start G"
"885c4ab91f546f267d6ff0ac72c727d519c5ab93";"3";"2017-04-05 07:49:40";"Start G"
"a6ce5da32121f14852f71738067d5dd9a01321d4";"1";"2017-04-05 07:49:55";"Start z"
"c0f2b4926e77d8b0de975fbfaa266d65dd7886c0";"2";"2017-04-05 07:50:51";"Start G"
"bff3fdb0b25159a391265ba9e5d29a175ad3671b";"2";"2017-04-05 07:51:06";"START R"
"f4524001d88248a24954e70026411ffcac4d0447";"1";"2017-04-05 07:51:53";"Start g"
"7caf5f8d03e324414da7b40a049efa494c6f088b";"1";"2017-04-05 07:52:08";"Start g"
"e35a2f0a6976411dbb8e40633a7c780c4ad6c3c0";"1";"2017-04-05 07:52:38";"Start r"
"6ab52e32cd10c24685dddac8c6d2f21075f15b2c";"1";"2017-04-05 07:52:53";"Start g"
"e741ed14d5c00663f2b12f4949a8e35c2aaa3217";"1";"2017-04-05 07:52:58";"Start g"
"bd59e32bac4f90df90428b831e47cfa795943ca0";"2";"2017-04-05 07:53:26";"Stop"
"c69952bb88d6dd531fa57dbc56c7a6c82fd34ba9";"2";"2017-04-05 07:53:31";"Start Z"
"fed8a164107eda984a590118fe289d9c21231c48";"2";"2017-04-05 07:54:21";"START G"
"7ae33d33f3f6a04d4c35dd4645c975c2540dd694";"1";"2017-04-05 07:54:23";"Start g "
"ebae863337049b48c70f940593805b333777afe7";"1";"2017-04-05 07:55:10";"Start M "
"b1c1b6297eff781f5512b3c284e7bad617ee889c";"3";"2017-04-05 07:55:23";"START Z"
"e8195b40e89669e95376d0d4bc4d2a41c3d0bc3e";"3";"2017-04-05 07:55:23";"START G"
"64529ca4f402534c36de9e1935f4a55b463244e6";"2";"2017-04-05 07:55:31";"START R"
"4c138170f16c7891c8d6345396ee1e961e6d99cc";"1";"2017-04-05 07:55:44";"start g "
"6c8245f4bf175955e0682a7fbcfa8ae9bc7b1124";"3";"2017-04-05 07:56:27";"START R "
"383cf3361174b2ece4a6f3cb82db359d697d4c5e";"1";"2017-04-05 07:56:38";"Stop"
"bbfe9a76e1b8479a4eeecbb094ad2aee36f4185f";"1";"2017-04-05 07:56:39";"Start Z"
"4b8f50274160d6710591fa560700d4dad3c54c95";"2";"2017-04-05 07:56:46";"START G"
"a81c34f93d9eea61381ba9806c0fb93f778779ab";"2";"2017-04-05 07:56:51";"START Z"
"cac6266c681e224131a442ab8b7577265cbb0d22";"2";"2017-04-05 07:57:26";"Start M"
"ec92fac719d49c660deac61f39558fdd68e40221";"2";"2017-04-05 07:57:56";"Start G"
"2d4f6b3521dae2e7c34f53d123c4df0c3909b62e";"1";"2017-04-05 07:58:03";"Start G"
"d362d66d44c89370c182d7bd536f9d0dcb3c9df2";"2";"2017-04-05 07:58:11";"Start"
"8f2a63c6b761ca8d9fa46a7bf9683e5e10f18868";"3";"2017-04-05 07:58:38";"Start g"
